,"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),surface_solar_radiation (W/m^2),direct_normal_solar_radiation (W/m^2),surface_diffuse_solar_radiation (W/m^2)
12/30/21 0:00,"(40.4259, -86.9081)",era5,218.18,-5,2.79,0,0,0
12/30/21 1:00,"(40.4259, -86.9081)",era5,218.18,-5,2.62,0,0,0
12/30/21 2:00,"(40.4259, -86.9081)",era5,218.18,-5,2.14,0,0,0
12/30/21 3:00,"(40.4259, -86.9081)",era5,218.18,-5,2.05,0,0,0
12/30/21 4:00,"(40.4259, -86.9081)",era5,218.18,-5,1.98,0,0,0
12/30/21 5:00,"(40.4259, -86.9081)",era5,218.18,-5,1.35,0,0,0
12/30/21 6:00,"(40.4259, -86.9081)",era5,218.18,-5,1.15,0,0,0
12/30/21 7:00,"(40.4259, -86.9081)",era5,218.18,-5,1.06,0,0,0
12/30/21 8:00,"(40.4259, -86.9081)",era5,218.18,-5,1.21,0,0,0
12/30/21 9:00,"(40.4259, -86.9081)",era5,218.18,-5,1.46,0,0,0
12/30/21 10:00,"(40.4259, -86.9081)",era5,218.18,-5,1.6,0,0,0
12/30/21 11:00,"(40.4259, -86.9081)",era5,218.18,-5,1.72,0,0,0
12/30/21 12:00,"(40.4259, -86.9081)",era5,218.18,-5,2.11,0,0,0
12/30/21 13:00,"(40.4259, -86.9081)",era5,218.18,-5,2.28,0,0,0
12/30/21 14:00,"(40.4259, -86.9081)",era5,218.18,-5,2.64,9.42,0,9.08
12/30/21 15:00,"(40.4259, -86.9081)",era5,218.18,-5,2.93,34.56,11.61,32.3
12/30/21 16:00,"(40.4259, -86.9081)",era5,218.18,-5,3.09,58.59,11.14,55.05
12/30/21 17:00,"(40.4259, -86.9081)",era5,218.18,-5,3.57,100.37,10.46,96.15
12/30/21 18:00,"(40.4259, -86.9081)",era5,218.18,-5,4.16,105.39,8.39,101.68
12/30/21 19:00,"(40.4259, -86.9081)",era5,218.18,-5,4.6,90.92,11.46,85.93
12/30/21 20:00,"(40.4259, -86.9081)",era5,218.18,-5,5.15,76.35,8.39,73.16
12/30/21 21:00,"(40.4259, -86.9081)",era5,218.18,-5,5.83,66.53,12.81,62.91
12/30/21 22:00,"(40.4259, -86.9081)",era5,218.18,-5,5.87,36.41,17.43,33.82
12/30/21 23:00,"(40.4259, -86.9081)",era5,218.18,-5,5.83,2.23,0,2.24
12/31/21 0:00,"(40.4259, -86.9081)",era5,218.18,-5,6.04,0,0,0
12/31/21 1:00,"(40.4259, -86.9081)",era5,218.18,-5,6.14,0,0,0
12/31/21 2:00,"(40.4259, -86.9081)",era5,218.18,-5,5.99,0,0,0
12/31/21 3:00,"(40.4259, -86.9081)",era5,218.18,-5,6.14,0,0,0
12/31/21 4:00,"(40.4259, -86.9081)",era5,218.18,-5,6.35,0,0,0
12/31/21 5:00,"(40.4259, -86.9081)",era5,218.18,-5,6.51,0,0,0
12/31/21 6:00,"(40.4259, -86.9081)",era5,218.18,-5,6.53,0,0,0
12/31/21 7:00,"(40.4259, -86.9081)",era5,218.18,-5,6.52,0,0,0
12/31/21 8:00,"(40.4259, -86.9081)",era5,218.18,-5,5.97,0,0,0
12/31/21 9:00,"(40.4259, -86.9081)",era5,218.18,-5,6.56,0,0,0
12/31/21 10:00,"(40.4259, -86.9081)",era5,218.18,-5,6.58,0,0,0
12/31/21 11:00,"(40.4259, -86.9081)",era5,218.18,-5,6.49,0,0,0
